file,href,type,normalized,internal_exists,internal_matched,external_status,external_ok,external_error
"404.html","/","internal","/","true","","","",""
"404.html","/visa-types/","internal","/visa-types/","true","visa-types","","",""
"404.html","/countries/","internal","/countries/","true","countries","","",""
"404.html","/documents/","internal","/documents/","true","documents","","",""
"404.html","/support/","internal","/support/","true","support","","",""
"404.html","/blog/","internal","/blog/","true","blog","","",""
"404.html","/contact/","internal","/contact/","true","contact","","",""
"404.html","/","internal","/","true","","","",""
"404.html","/countries/","internal","/countries/","true","countries","","",""
"404.html","/first-time-applicant/","internal","/first-time-applicant/","true","first-time-applicant","","",""
"404.html","/documents/required-documents/","internal","/documents/required-documents/","true","documents/required-documents","","",""
"404.html","/schengen-visa-fees/","internal","/schengen-visa-fees/","true","schengen-visa-fees","","",""
"404.html","/schengen-visa-interview-questions/","internal","/schengen-visa-interview-questions/","true","schengen-visa-interview-questions","","",""
"404.html","/countries/france/","internal","/countries/france/","true","countries/france","","",""
"404.html","/","internal","/","true","","","",""
"404.html","/privacy-policy/","internal","/privacy-policy/","true","privacy-policy","","",""
"404.html","/terms-of-service/","internal","/terms-of-service/","true","terms-of-service","","",""
"404.html","/about/","internal","/about/","true","about","","",""
"_footer-template.html","/","internal","/","true","","","",""
"_footer-template.html","/privacy-policy/","internal","/privacy-policy/","true","privacy-policy","","",""
"_footer-template.html","/terms-of-service/","internal","/terms-of-service/","true","terms-of-service","","",""
"_footer-template.html","/about/","internal","/about/","true","about","","",""
"_footer-template.html","#","skip","","","","","",""
"_header-template.html","/","internal","/","true","","","",""
"_header-template.html","/countries/","internal","/countries/","true","countries","","",""
"_header-template.html","/visa-types/","internal","/visa-types/","true","visa-types","","",""
"_header-template.html","/documents/","internal","/documents/","true","documents","","",""
"_header-template.html","/visa-rejection-guide/","internal","/visa-rejection-guide/","true","visa-rejection-guide","","",""
"_header-template.html","/support/","internal","/support/","true","support","","",""
"_header-template.html","/contact/","internal","/contact/","true","contact","","",""
"_sidebar-template.html","/visa-tracking/","internal","/visa-tracking/","true","visa-tracking","","",""
"_sidebar-template.html","/schengen-countries-list/","internal","/schengen-countries-list/","true","schengen-countries-list","","",""
"_sidebar-template.html","/multiple-entry-visa/","internal","/multiple-entry-visa/","true","multiple-entry-visa","","",""
"_sidebar-template.html","/visa-validity/","internal","/visa-validity/","true","visa-validity","","",""
"_sidebar-template.html","/passport-requirements/","internal","/passport-requirements/","true","passport-requirements","","",""
"_sidebar-template.html","/urgent-visa/","internal","/urgent-visa/","true","urgent-visa","","",""
"_sidebar-template.html","/documents/cover-letter/","internal","/documents/cover-letter/","true","documents/cover-letter","","",""
"_sidebar-template.html","/documents/bank-statement/","internal","/documents/bank-statement/","true","documents/bank-statement","","",""
"_sidebar-template.html","/documents/travel-insurance/","internal","/documents/travel-insurance/","true","documents/travel-insurance","","",""
"_sidebar-template.html","/documents/flight-itinerary/","internal","/documents/flight-itinerary/","true","documents/flight-itinerary","","",""
"_sidebar-template.html","/documents/hotel-booking/","internal","/documents/hotel-booking/","true","documents/hotel-booking","","",""
"_sidebar-template.html","/documents/required-documents/","internal","/documents/required-documents/","true","documents/required-documents","","",""
"_sidebar-template.html","/visa-for-unemployed/","internal","/visa-for-unemployed/","true","visa-for-unemployed","","",""
"_sidebar-template.html","/senior-citizen-visa/","internal","/senior-citizen-visa/","true","senior-citizen-visa","","",""
"_sidebar-template.html","/visa-for-minors/","internal","/visa-for-minors/","true","visa-for-minors","","",""
"_sidebar-template.html","/schengen-visa-from-dubai/","internal","/schengen-visa-from-dubai/","true","schengen-visa-from-dubai","","",""
"_sidebar-template.html","/visa-extension/","internal","/visa-extension/","true","visa-extension","","",""
"_sidebar-template.html","/visa-types/tourist/","internal","/visa-types/tourist/","true","visa-types/tourist","","",""
"_sidebar-template.html","/visa-types/business/","internal","/visa-types/business/","true","visa-types/business","","",""
"_sidebar-template.html","/visa-types/family-visit/","internal","/visa-types/family-visit/","true","visa-types/family-visit","","",""
"_sidebar-template.html","/visa-types/transit/","internal","/visa-types/transit/","true","visa-types/transit","","",""
"_sidebar-template.html","/visa-types/","internal","/visa-types/","true","visa-types","","",""
"_sidebar-template.html","/countries/france/","internal","/countries/france/","true","countries/france","","",""
"_sidebar-template.html","/countries/germany/","internal","/countries/germany/","true","countries/germany","","",""
"_sidebar-template.html","/countries/spain/","internal","/countries/spain/","true","countries/spain","","",""
"_sidebar-template.html","/countries/italy/","internal","/countries/italy/","true","countries/italy","","",""
"_sidebar-template.html","/countries/netherlands/","internal","/countries/netherlands/","true","countries/netherlands","","",""
"_sidebar-template.html","/countries/","internal","/countries/","true","countries","","",""
"_sidebar-template.html","/visa-rejection-guide/","internal","/visa-rejection-guide/","true","visa-rejection-guide","","",""
"_sidebar-template.html","/first-time-applicant/","internal","/first-time-applicant/","true","first-time-applicant","","",""
"_sidebar-template.html","/appointment-booking/","internal","/appointment-booking/","true","appointment-booking","","",""
"_sidebar-template.html","/schengen-visa-fees/","internal","/schengen-visa-fees/","true","schengen-visa-fees","","",""
"_sidebar-template.html","/schengen-visa-interview-questions/","internal","/schengen-visa-interview-questions/","true","schengen-visa-interview-questions","","",""
"about/index.html","/","internal","/","true","","","",""
"about/index.html","/visa-types/","internal","/visa-types/","true","visa-types","","",""
"about/index.html","/countries/","internal","/countries/","true","countries","","",""
"about/index.html","/documents/","internal","/documents/","true","documents","","",""
"about/index.html","/support/","internal","/support/","true","support","","",""
"about/index.html","/blog/","internal","/blog/","true","blog","","",""
"about/index.html","/contact/","internal","/contact/","true","contact","","",""
"about/index.html","/","internal","/","true","","","",""
"about/index.html","/contact/","internal","/contact/","true","contact","","",""
"about/index.html","/contact/","internal","/contact/","true","contact","","",""
"about/index.html","/blog/france-schengen-visa-guide/","internal","/blog/france-schengen-visa-guide/","true","blog/france-schengen-visa-guide","","",""
"about/index.html","/countries/germany/","internal","/countries/germany/","true","countries/germany","","",""
"about/index.html","/blog/italy-schengen-visa-guide/","internal","/blog/italy-schengen-visa-guide/","true","blog/italy-schengen-visa-guide","","",""
"about/index.html","/blog/netherlands-schengen-visa-guide/","internal","/blog/netherlands-schengen-visa-guide/","true","blog/netherlands-schengen-visa-guide","","",""
"about/index.html","/blog/greece-schengen-visa-guide/","internal","/blog/greece-schengen-visa-guide/","true","blog/greece-schengen-visa-guide","","",""
"about/index.html","/blog/portugal-schengen-visa-guide/","internal","/blog/portugal-schengen-visa-guide/","true","blog/portugal-schengen-visa-guide","","",""
"about/index.html","/blog/austria-schengen-visa-guide/","internal","/blog/austria-schengen-visa-guide/","true","blog/austria-schengen-visa-guide","","",""
"about/index.html","/ireland-to-schengen/","internal","/ireland-to-schengen/","true","ireland-to-schengen","","",""
"about/index.html","/contact/","internal","/contact/","true","contact","","",""
"about/index.html","/privacy-policy/","internal","/privacy-policy/","true","privacy-policy","","",""
"about/index.html","/visa-types/tourist/","internal","/visa-types/tourist/","true","visa-types/tourist","","",""
"about/index.html","/blog/schengen-visa-without-travel-history/","internal","/blog/schengen-visa-without-travel-history/","true","blog/schengen-visa-without-travel-history","","",""
"about/index.html","/documents/cover-letter/","internal","/documents/cover-letter/","true","documents/cover-letter","","",""
"about/index.html","/blog/schengen-transit-visa/","internal","/blog/schengen-transit-visa/","true","blog/schengen-transit-visa","","",""
"about/index.html","/contact/","internal","/contact/","true","contact","","",""
"about/index.html","/privacy-policy/","internal","/privacy-policy/","true","privacy-policy","","",""
"about/index.html","/terms-of-service/","internal","/terms-of-service/","true","terms-of-service","","",""
"about/index.html","/","internal","/","true","","","",""
"about/index.html","/privacy-policy/","internal","/privacy-policy/","true","privacy-policy","","",""
